label,text
ham,Lunch at 9 AM?
spam,Free gift card waiting!
spam,Free access to premium content.
spam,Free voucher waiting!
spam,Exclusive deal just for you!
ham,Your order has been shipped.
spam,You are a lucky winner!
ham,Let us catch up later today.
spam,You are a lucky winner!
spam,Get rich quick with this simple trick. Terms and conditions apply.
ham,Reminder: Appointment tomorrow.
spam,You are a lucky winner!
ham,Your order has been approved.
spam,Last chance to save big today!
ham,The workshop starts at 9 AM.
ham,We have moved the call to tomorrow morning. Kind reminder for the schedule.
spam,Make money fast!
spam,Get rich quick with this simple trick.
ham,Reminder: Appointment on Monday. Attached is the latest file.
ham,Let us catch up later today.
ham,Your order has been shipped.
spam,"Earn Rs. 2,00,000 per week from home!"
ham,The interview starts at 10 AM. Thanks for the update.
ham,Please verify your attendance for workshop.
ham,Please verify your attendance for workshop.
spam,Exclusive deal just for you!
ham,Could you share the updated slide deck?
ham,The package will arrive this Friday.
spam,"Earn Rs. 50,000 per week from home!"
spam,Lose weight in 5 days!
spam,Make money fast! No credit card required.
spam,Limited time offer!
spam,Congratulations! You won a voucher!
ham,Please review the attached presentation. See you soon.
spam,Free coupon waiting! Offer valid for today only.
ham,Meeting at 10 AM on Tuesday.
ham,Lunch at this afternoon?
ham,Lunch at 10 AM?
spam,Make money fast!
spam,Free subscription waiting!
spam,Act now to unlock your reward.
ham,Please verify your attendance for seminar. Kind reminder for the schedule.
ham,Your OTP is 678901. See you soon.
spam,Urgent! Verify your account now.
ham,Could you share the updated presentation?
spam,Urgent! Verify your account now. This is a limited time promotion.
spam,Get rich quick with this simple trick.
spam,Limited time offer!
ham,The lecture starts at 2:30 PM. Attached is the latest file.
spam,Act now to unlock your reward.
spam,Lose weight in 3 days! No credit card required.
spam,Act now to unlock your reward. This is a limited time promotion.
ham,Your OTP is 123456. Kind reminder for the schedule.
ham,Lunch at 1 PM? See you soon.
ham,Your OTP is 246810. Attached is the latest file.
ham,Let us catch up next week.
ham,Meeting notes from next week are attached. Attached is the latest file.
spam,Claim your bonus now and get lottery instantly. Reply stop to unsubscribe.
ham,Meeting notes from tomorrow are attached. Thanks for the update.
spam,Act now to unlock your reward.
spam,Free access to premium content.
ham,We have moved the call to tomorrow morning.
spam,Exclusive deal just for you!
spam,Congratulations! You won a cash reward!
ham,Please verify your attendance for seminar.
ham,Meeting notes from next week are attached.
ham,Meeting at 10 AM on Tuesday.
ham,The package will arrive on Monday.
spam,"Earn Rs. 50,000 per week from home!"
spam,Make money fast!
ham,Please review the attached presentation. See you soon.
spam,You are a lucky winner!
ham,Lunch at 1 PM? Kind reminder for the schedule.
spam,Lose weight in 5 days!
ham,Project deadline extended to on Monday.
ham,Please review the attached agenda. Kind reminder for the schedule.
spam,Get rich quick with this simple trick. No credit card required.
ham,Please review the attached agenda. Attached is the latest file.
ham,The seminar starts at this afternoon. Thanks for the update.
spam,Limited time offer! Reply stop to unsubscribe.
spam,Claim your bonus now and get lottery instantly.
spam,Urgent! Verify your account now. Reply stop to unsubscribe.
ham,Meeting notes from tomorrow are attached.
ham,Please verify your attendance for seminar. Attached is the latest file.
ham,The lecture starts at 1 PM.
spam,Urgent! Verify your account now.
spam,Click here to claim your cash reward. Terms and conditions apply.
spam,You are a lucky winner!
spam,Get rich quick with this simple trick. No credit card required.
ham,Lunch at 2:30 PM? Attached is the latest file.
spam,Click here to claim your voucher.
spam,Claim your bonus now and get bonus instantly. No credit card required.
ham,We have moved the call to this afternoon.
ham,Your OTP is 246810. Attached is the latest file.
spam,Make money fast!
ham,The package will arrive on Monday.
spam,Click here to claim your cash reward. Reply stop to unsubscribe.
spam,Lose weight in 3 days! This is a limited time promotion.
ham,Your bill has been generated. Kind reminder for the schedule.
spam,Congratulations! You won a voucher!
spam,Exclusive deal just for you!
ham,We have moved the call to 2:30 PM. See you soon.
spam,Congratulations! You won a bonus!
ham,Project deadline extended to on Monday.
spam,Make money fast!
ham,The package will arrive on Tuesday.
spam,Claim your bonus now and get gift card instantly. No credit card required.
ham,Your bill has been generated.
ham,The package will arrive on Monday. See you soon.
spam,Claim your bonus now and get cash reward instantly. Reply stop to unsubscribe.
spam,Exclusive deal just for you!
ham,We have moved the call to 5 PM.
ham,Your OTP is 678901.
spam,Free gift card waiting!
ham,Your OTP is 123456.
spam,Lose weight in 3 days! Terms and conditions apply.
spam,You are a lucky winner!
spam,Congratulations! You won a bonus! Terms and conditions apply.
spam,Claim your bonus now and get free trip instantly. Terms and conditions apply.
spam,Lose weight in 7 days! No credit card required.
ham,Reminder: Appointment on Tuesday.
spam,Make money fast!
spam,Act now to unlock your reward.
ham,Please review the attached invoice.
ham,Your order is ready for pickup.
ham,Your order has been approved. See you soon.
spam,Last chance to save big today! No credit card required.
ham,Meeting notes from next week are attached. Please let me know if that works.
ham,Your order is due tomorrow.
ham,Lunch at this afternoon? Thanks for the update.
ham,Let us catch up this evening. Thanks for the update.
spam,Lose weight in 10 days!
ham,We have moved the call to 1 PM.
spam,Last chance to save big today! Terms and conditions apply.
ham,Please verify your attendance for client call.
spam,Get rich quick with this simple trick.
ham,The package will arrive this Friday. Please let me know if that works.
ham,Your OTP is 246810.
spam,Congratulations! You won a lottery!
spam,Lose weight in 5 days! No credit card required.
spam,Lose weight in 5 days! Offer valid for today only.
ham,Reminder: Appointment this Friday.
ham,Meeting at 10 AM tomorrow.
spam,Click here to claim your bonus.
ham,Please review the attached presentation. Kind reminder for the schedule.
spam,Claim your bonus now and get lottery instantly.
spam,Lose weight in 7 days!
ham,Your OTP is 123456. See you soon.
ham,Reminder: Appointment on Monday.
ham,Your order is due tomorrow.
spam,Claim your bonus now and get free trip instantly.
ham,Please verify your attendance for seminar. Attached is the latest file.
ham,Meeting at 5 PM this Friday. See you soon.
ham,We have moved the call to this afternoon. Thanks for the update.
ham,Please review the attached invoice.
ham,Meeting at 1 PM on Monday. Thanks for the update.
spam,Urgent! Verify your account now.
ham,Lunch at tomorrow morning?
spam,Free access to premium content.
ham,Reminder: Appointment tomorrow.
spam,Get rich quick with this simple trick. Terms and conditions apply.
ham,Meeting notes from next week are attached. See you soon.
spam,Urgent! Verify your account now. This is a limited time promotion.
spam,Click here to claim your gift card.
ham,Please verify your attendance for seminar.
spam,Make money fast! Offer valid for today only.
ham,We have moved the call to 2:30 PM. Attached is the latest file.
spam,Get rich quick with this simple trick.
ham,Project deadline extended to on Tuesday.
spam,Free gift card waiting!
ham,Could you share the updated document?
spam,Lose weight in 7 days! No credit card required.
spam,Get rich quick with this simple trick. Reply stop to unsubscribe.
ham,Could you share the updated document?
ham,Could you share the updated report? Kind reminder for the schedule.
spam,Act now to unlock your reward. This is a limited time promotion.
spam,Exclusive deal just for you!
spam,"Earn Rs. 2,00,000 per week from home! Terms and conditions apply."
spam,Click here to claim your cash reward.
ham,Reminder: Appointment this Friday.
spam,Act now to unlock your reward.
spam,You are a lucky winner!
ham,Your OTP is 123456. Please let me know if that works.
ham,Let us catch up next week.
spam,Lose weight in 3 days!
spam,Exclusive deal just for you!
ham,We have moved the call to tomorrow morning. Kind reminder for the schedule.
spam,Congratulations! You won a lottery!
ham,Project deadline extended to tomorrow.
ham,Please review the attached invoice. Kind reminder for the schedule.
spam,Lose weight in 7 days!
spam,"Earn Rs. 75,000 per week from home!"
spam,"Earn Rs. 1,00,000 per week from home!"
ham,Your OTP is 678901. Thanks for the update.
ham,Project deadline extended to this Friday.
spam,You are a lucky winner!
ham,The team meeting starts at 2:30 PM. Attached is the latest file.
ham,Your OTP is 975310.
spam,Click here to claim your free trip.
spam,Exclusive deal just for you!
spam,Congratulations! You won a bonus! Terms and conditions apply.
ham,Let us catch up later today.
ham,Meeting at tomorrow morning this Friday.
ham,Let us catch up on Saturday. Please let me know if that works.
ham,Please verify your attendance for lecture. Thanks for the update.
ham,Let us catch up next week. See you soon.
ham,We have moved the call to 5 PM.
ham,Could you share the updated report?
ham,Could you share the updated agenda?
spam,"Earn Rs. 2,00,000 per week from home! No credit card required."
spam,Limited time offer!
ham,Let us catch up next week.
spam,Last chance to save big today!
ham,Please review the attached report. Kind reminder for the schedule.
spam,Urgent! Verify your account now.
ham,Please review the attached document.
spam,Get rich quick with this simple trick.
spam,Act now to unlock your reward.
spam,Claim your bonus now and get bonus instantly. Reply stop to unsubscribe.
spam,Free access to premium content.
ham,Meeting at 1 PM tomorrow.
spam,Claim your bonus now and get voucher instantly. Offer valid for today only.
spam,You are a lucky winner! Reply stop to unsubscribe.
spam,Lose weight in 7 days! This is a limited time promotion.
spam,Last chance to save big today!
spam,Free coupon code waiting!
spam,Claim your bonus now and get free trip instantly.
spam,Urgent! Verify your account now.
spam,Free voucher waiting!
ham,Your OTP is 678901.
ham,The workshop starts at 9 AM. Kind reminder for the schedule.
ham,Let us catch up after lunch.
spam,Claim your bonus now and get lottery instantly. Terms and conditions apply.
spam,Free coupon code waiting!
spam,Congratulations! You won a voucher!
ham,We have moved the call to 9 AM.
spam,Congratulations! You won a cash reward!
spam,Congratulations! You won a gift card!
spam,Claim your bonus now and get voucher instantly.
spam,Claim your bonus now and get lottery instantly.
spam,Lose weight in 5 days!
ham,Your bill has been generated.
spam,"Earn Rs. 1,00,000 per week from home!"
ham,Reminder: Appointment tomorrow.
ham,Reminder: Appointment tomorrow.
spam,Make money fast!
spam,Act now to unlock your reward.
ham,Lunch at 10 AM?
ham,Project deadline extended to on Tuesday. Please let me know if that works.
spam,Make money fast! Reply stop to unsubscribe.
ham,Project deadline extended to on Tuesday.
spam,Click here to claim your voucher.
ham,Please review the attached invoice.
ham,Please review the attached agenda. Please let me know if that works.
spam,Free coupon code waiting!
spam,Last chance to save big today! This is a limited time promotion.
spam,Claim your bonus now and get free trip instantly.
spam,Click here to claim your voucher.
ham,Your order has been shipped.
ham,We have moved the call to this afternoon.
ham,Could you share the updated presentation?
ham,Lunch at 2:30 PM? See you soon.
ham,Your bill has been generated.
ham,The lecture starts at 1 PM. Thanks for the update.
spam,Get rich quick with this simple trick. Reply stop to unsubscribe.
ham,Your order has been approved.
ham,Your order is due tomorrow.
spam,"Earn Rs. 50,000 per week from home!"
spam,Free subscription waiting! Offer valid for today only.
ham,Meeting at 5 PM this Friday.
ham,Could you share the updated report? Kind reminder for the schedule.
spam,Congratulations! You won a free trip!
spam,Free access to premium content.
ham,Your OTP is 123456. Kind reminder for the schedule.
ham,Your order has been shipped. See you soon.
ham,Please verify your attendance for lecture.
ham,Project deadline extended to on Tuesday.
spam,Act now to unlock your reward. Offer valid for today only.
ham,Lunch at 1 PM? See you soon.
ham,The team meeting starts at this afternoon.
ham,Reminder: Appointment on Monday.
ham,Please verify your attendance for workshop. Kind reminder for the schedule.
spam,Free access to premium content. Reply stop to unsubscribe.
ham,Your bill has been generated.
spam,Limited time offer! Offer valid for today only.
ham,Please review the attached invoice. Thanks for the update.
spam,Limited time offer! This is a limited time promotion.
spam,Urgent! Verify your account now. Reply stop to unsubscribe.
spam,Act now to unlock your reward.
ham,Please review the attached agenda.
spam,Congratulations! You won a bonus! Offer valid for today only.
ham,Reminder: Appointment next week.
ham,Lunch at 2:30 PM?
ham,Your order was updated.
ham,Your order was updated.
spam,Limited time offer!
spam,Act now to unlock your reward. Offer valid for today only.
spam,You are a lucky winner! Offer valid for today only.
ham,Meeting at 9 AM on Tuesday.
spam,Act now to unlock your reward.
ham,Meeting at this afternoon on Monday. Kind reminder for the schedule.
ham,Meeting at 9 AM this Friday.
spam,You are a lucky winner! This is a limited time promotion.
ham,Please verify your attendance for seminar. Please let me know if that works.
spam,Click here to claim your free trip.
ham,Reminder: Appointment on Monday.
ham,Your order is ready for pickup.
ham,Your bill has been generated.
ham,The package will arrive this Friday. Attached is the latest file.
spam,Lose weight in 7 days! No credit card required.
ham,Could you share the updated agenda?
spam,You are a lucky winner! Terms and conditions apply.
ham,Let us catch up later today. Please let me know if that works.
ham,Your bill has been generated. Kind reminder for the schedule.
spam,Lose weight in 5 days! Offer valid for today only.
spam,Free subscription waiting!
spam,Free access to premium content.
ham,Meeting at tomorrow morning next week.
spam,Claim your bonus now and get bonus instantly.
spam,Act now to unlock your reward. Offer valid for today only.
spam,Congratulations! You won a gift card!
ham,Let us catch up on Saturday. Kind reminder for the schedule.
spam,Free subscription waiting!
ham,Reminder: Appointment this Friday. Thanks for the update.
ham,Let us catch up on Saturday. Please let me know if that works.
ham,Let us catch up this evening.
ham,Your OTP is 246810.
spam,Congratulations! You won a bonus!
ham,Your order has been approved. Please let me know if that works.
spam,Lose weight in 3 days! This is a limited time promotion.
spam,Act now to unlock your reward.
ham,Please verify your attendance for client call. Kind reminder for the schedule.
ham,Lunch at 9 AM?
ham,Lunch at tomorrow morning?
ham,Lunch at 1 PM?
ham,Your OTP is 678901.
ham,Project deadline extended to this Friday.
spam,Free access to premium content.
ham,The package will arrive tomorrow.
spam,Exclusive deal just for you!
spam,Lose weight in 10 days!
ham,Please verify your attendance for interview.
ham,Your bill has been generated.
ham,Reminder: Appointment on Tuesday.
ham,Your bill has been generated. Please let me know if that works.
spam,Claim your bonus now and get bonus instantly.
spam,Lose weight in 5 days! Reply stop to unsubscribe.
spam,Exclusive deal just for you!
ham,Meeting at tomorrow morning this Friday.
ham,Your OTP is 975310.
spam,Exclusive deal just for you!
spam,Congratulations! You won a cash reward!
ham,Please review the attached slide deck. Kind reminder for the schedule.
ham,Lunch at tomorrow morning?
ham,Your order is due tomorrow. Attached is the latest file.
ham,Your OTP is 123456.
ham,We have moved the call to 2:30 PM.
spam,Act now to unlock your reward.
spam,Congratulations! You won a bonus!
ham,Please verify your attendance for workshop.
spam,Exclusive deal just for you!
ham,Your OTP is 246810. See you soon.
ham,The package will arrive next week.
spam,Exclusive deal just for you! Terms and conditions apply.
ham,Project deadline extended to on Tuesday.
ham,Could you share the updated invoice? Thanks for the update.
spam,You are a lucky winner! No credit card required.
spam,Exclusive deal just for you!
spam,Free access to premium content.
ham,We have moved the call to 5 PM. Please let me know if that works.
ham,Reminder: Appointment this Friday. Attached is the latest file.
spam,Claim your bonus now and get free trip instantly. Terms and conditions apply.
ham,Meeting at tomorrow morning tomorrow.
spam,Free subscription waiting!
ham,The package will arrive tomorrow. See you soon.
spam,Act now to unlock your reward. Terms and conditions apply.
spam,Lose weight in 3 days!
spam,Click here to claim your cash reward. Offer valid for today only.
spam,Limited time offer!
ham,Project deadline extended to on Monday.
ham,Your OTP is 678901. See you soon.
spam,Claim your bonus now and get lottery instantly.
ham,Reminder: Appointment on Monday.
spam,Act now to unlock your reward.
spam,Get rich quick with this simple trick.
spam,Get rich quick with this simple trick.
ham,Your bill has been generated. Please let me know if that works.
spam,Limited time offer!
ham,Please verify your attendance for seminar.
spam,Urgent! Verify your account now.
ham,The client call starts at 1 PM. Please let me know if that works.
ham,Let us catch up next week. Kind reminder for the schedule.
ham,We have moved the call to 9 AM.
ham,We have moved the call to 2:30 PM.
ham,Could you share the updated document?
spam,Urgent! Verify your account now.
spam,"Earn Rs. 50,000 per week from home!"
spam,Urgent! Verify your account now. Terms and conditions apply.
spam,Last chance to save big today! This is a limited time promotion.
spam,Free access to premium content.
spam,Exclusive deal just for you!
spam,Click here to claim your gift card.
spam,Congratulations! You won a gift card! Reply stop to unsubscribe.
spam,Claim your bonus now and get cash reward instantly.
ham,Your OTP is 123456.
spam,Click here to claim your bonus.
ham,Your order is due tomorrow.
spam,You are a lucky winner!
spam,Limited time offer! Reply stop to unsubscribe.
ham,Lunch at 1 PM?
spam,Make money fast!
spam,Last chance to save big today! Terms and conditions apply.
spam,You are a lucky winner!
spam,Exclusive deal just for you!
ham,Please review the attached slide deck. See you soon.
spam,Urgent! Verify your account now.
ham,Meeting notes from tomorrow are attached.
spam,Lose weight in 3 days! Terms and conditions apply.
ham,Meeting at 10 AM this Friday. Attached is the latest file.
spam,You are a lucky winner!
ham,Project deadline extended to next week. Attached is the latest file.
spam,Get rich quick with this simple trick. No credit card required.
spam,Make money fast!
ham,Lunch at 10 AM?
spam,"Earn Rs. 75,000 per week from home!"
ham,Your bill has been generated. Kind reminder for the schedule.
ham,Please review the attached slide deck. Kind reminder for the schedule.
spam,Last chance to save big today!
ham,Meeting notes from next week are attached.
spam,Free coupon code waiting!
spam,You are a lucky winner!
ham,Please review the attached slide deck. See you soon.
spam,Get rich quick with this simple trick.
spam,Free access to premium content.
ham,Your OTP is 678901. Thanks for the update.
ham,Please review the attached report. Kind reminder for the schedule.
ham,Lunch at 2:30 PM?
ham,The package will arrive on Monday. See you soon.
spam,Make money fast! Terms and conditions apply.
spam,Get rich quick with this simple trick.
spam,Limited time offer!
ham,The workshop starts at 9 AM.
spam,Exclusive deal just for you!
spam,Last chance to save big today!
spam,"Earn Rs. 2,00,000 per week from home!"
spam,Click here to claim your voucher. This is a limited time promotion.
spam,Congratulations! You won a free trip!
ham,Lunch at tomorrow morning?
spam,Get rich quick with this simple trick.
spam,Lose weight in 7 days!
ham,Your OTP is 975310.
ham,Could you share the updated slide deck?
spam,Congratulations! You won a free trip!
spam,Claim your bonus now and get lottery instantly.
ham,Your order has been approved.
ham,Please verify your attendance for client call. Attached is the latest file.
ham,Lunch at 5 PM? Thanks for the update.
ham,Your bill has been generated. Thanks for the update.
ham,Your order is ready for pickup.
ham,Your OTP is 975310.
ham,Meeting at tomorrow morning on Tuesday. Kind reminder for the schedule.
spam,Urgent! Verify your account now.
ham,Project deadline extended to next week.
spam,Act now to unlock your reward. Reply stop to unsubscribe.
ham,Your order is due tomorrow.
ham,Your bill has been generated.
spam,Make money fast! No credit card required.
spam,Limited time offer! This is a limited time promotion.
ham,Could you share the updated report?
ham,Your bill has been generated.
ham,Your OTP is 678901.
ham,Meeting at 9 AM on Tuesday.
ham,Meeting notes from on Monday are attached.
spam,Get rich quick with this simple trick. This is a limited time promotion.
spam,Claim your bonus now and get bonus instantly.
spam,Urgent! Verify your account now.
ham,Please review the attached report.
ham,We have moved the call to tomorrow morning.
ham,Please review the attached presentation.
spam,Free access to premium content.
spam,Act now to unlock your reward. Reply stop to unsubscribe.
spam,"Earn Rs. 1,00,000 per week from home!"
ham,Please review the attached invoice. Kind reminder for the schedule.
ham,Reminder: Appointment tomorrow. Thanks for the update.
spam,Congratulations! You won a gift card!
ham,Project deadline extended to tomorrow.
spam,Claim your bonus now and get bonus instantly.
ham,Your order has been shipped.
ham,Let us catch up next week.
spam,Make money fast! Reply stop to unsubscribe.
spam,Last chance to save big today! Reply stop to unsubscribe.
ham,We have moved the call to 5 PM. See you soon.
spam,"Earn Rs. 50,000 per week from home!"
ham,Meeting at tomorrow morning on Tuesday.
ham,Meeting at 10 AM next week.
ham,Meeting at 10 AM on Tuesday.
ham,Let us catch up after lunch. Attached is the latest file.
ham,Your OTP is 246810.
spam,Click here to claim your gift card.
spam,Free subscription waiting!
ham,Could you share the updated agenda? Kind reminder for the schedule.
ham,Lunch at 2:30 PM? Attached is the latest file.
ham,Could you share the updated invoice? Please let me know if that works.
spam,Urgent! Verify your account now.
spam,Get rich quick with this simple trick.
spam,Free coupon code waiting! Reply stop to unsubscribe.
spam,Limited time offer! Offer valid for today only.
ham,Meeting notes from next week are attached. Please let me know if that works.
spam,Urgent! Verify your account now. Reply stop to unsubscribe.
spam,Lose weight in 3 days!
spam,Claim your bonus now and get gift card instantly. Reply stop to unsubscribe.
ham,Could you share the updated agenda?
spam,Claim your bonus now and get cash reward instantly.
ham,The interview starts at 2:30 PM. Please let me know if that works.
ham,Your order has been shipped.
spam,Lose weight in 7 days!
ham,We have moved the call to 2:30 PM. Please let me know if that works.
ham,Let us catch up after lunch.
ham,Your order was updated.
ham,Your bill has been generated. Attached is the latest file.
ham,Your OTP is 123456.
spam,Congratulations! You won a voucher!
ham,Please verify your attendance for team meeting. Attached is the latest file.
ham,Reminder: Appointment on Monday.
spam,Congratulations! You won a voucher!
spam,Last chance to save big today!
spam,"Earn Rs. 50,000 per week from home!"
ham,Lunch at tomorrow morning?
spam,Last chance to save big today! No credit card required.
ham,Could you share the updated report?
spam,Lose weight in 10 days!
spam,Exclusive deal just for you!
spam,Congratulations! You won a cash reward!
spam,Free access to premium content. Reply stop to unsubscribe.
spam,Lose weight in 7 days!
ham,Meeting notes from on Monday are attached. Please let me know if that works.
ham,Meeting at 5 PM this Friday. See you soon.
spam,Claim your bonus now and get cash reward instantly.
ham,We have moved the call to 5 PM.
spam,Congratulations! You won a bonus!
ham,Your bill has been generated.
spam,Click here to claim your free trip.
ham,Your OTP is 678901.
ham,We have moved the call to 9 AM.
ham,The interview starts at 9 AM. See you soon.
spam,Get rich quick with this simple trick.
ham,The interview starts at 1 PM. Kind reminder for the schedule.
spam,Free access to premium content.
ham,Let us catch up after lunch.
ham,Meeting at 1 PM next week. Please let me know if that works.
ham,Let us catch up this evening.
ham,Let us catch up this evening.
spam,Free access to premium content.
ham,Project deadline extended to next week. Thanks for the update.
ham,The package will arrive tomorrow.
spam,You are a lucky winner!
spam,Exclusive deal just for you!
ham,Your order is ready for pickup.
spam,Get rich quick with this simple trick. This is a limited time promotion.
spam,Free access to premium content.
ham,Please review the attached agenda.
ham,Meeting notes from this Friday are attached. Kind reminder for the schedule.
ham,Meeting notes from next week are attached. See you soon.
ham,Meeting at 1 PM tomorrow. Kind reminder for the schedule.
spam,Click here to claim your free trip.
spam,Claim your bonus now and get free trip instantly. Offer valid for today only.
